origin_idx,year,month,unempl_rate,date
0,2010,jan,9.8,2010-01-01
1,2011,jan,9.1,2011-01-01
2,2012,jan,8.3,2012-01-01
3,2013,jan,8.0,2013-01-01
4,2014,jan,6.6,2014-01-01
5,2015,jan,5.7,2015-01-01
6,2016,jan,4.9,2016-01-01
7,2017,jan,4.7,2017-01-01
8,2018,jan,4.1,2018-01-01
9,2019,jan,4.0,2019-01-01
10,2020,jan,3.6,2020-01-01
11,2010,feb,9.8,2010-02-01
12,2011,feb,9.0,2011-02-01
13,2012,feb,8.3,2012-02-01
14,2013,feb,7.7,2013-02-01
15,2014,feb,6.7,2014-02-01
16,2015,feb,5.5,2015-02-01
17,2016,feb,4.9,2016-02-01
18,2017,feb,4.6,2017-02-01
19,2018,feb,4.1,2018-02-01
20,2019,feb,3.8,2019-02-01
21,2020,feb,3.5,2020-02-01
22,2010,mar,9.9,2010-03-01
23,2011,mar,9.0,2011-03-01
24,2012,mar,8.2,2012-03-01
25,2013,mar,7.5,2013-03-01
26,2014,mar,6.7,2014-03-01
27,2015,mar,5.4,2015-03-01
28,2016,mar,5.0,2016-03-01
29,2017,mar,4.4,2017-03-01
30,2018,mar,4.0,2018-03-01
31,2019,mar,3.8,2019-03-01
32,2020,mar,4.4,2020-03-01
33,2010,apr,9.9,2010-04-01
34,2011,apr,9.1,2011-04-01
35,2012,apr,8.2,2012-04-01
36,2013,apr,7.6,2013-04-01
37,2014,apr,6.2,2014-04-01
38,2015,apr,5.4,2015-04-01
39,2016,apr,5.0,2016-04-01
40,2017,apr,4.4,2017-04-01
41,2018,apr,4.0,2018-04-01
42,2019,apr,3.6,2019-04-01
43,2020,apr,,2020-04-01
44,2010,may,9.6,2010-05-01
45,2011,may,9.0,2011-05-01
46,2012,may,8.2,2012-05-01
47,2013,may,7.5,2013-05-01
48,2014,may,6.3,2014-05-01
49,2015,may,5.6,2015-05-01
50,2016,may,4.8,2016-05-01
51,2017,may,4.4,2017-05-01
52,2018,may,3.8,2018-05-01
53,2019,may,3.6,2019-05-01
54,2020,may,,2020-05-01
55,2010,jun,9.4,2010-06-01
56,2011,jun,9.1,2011-06-01
57,2012,jun,8.2,2012-06-01
58,2013,jun,7.5,2013-06-01
59,2014,jun,6.1,2014-06-01
60,2015,jun,5.3,2015-06-01
61,2016,jun,4.9,2016-06-01
62,2017,jun,4.3,2017-06-01
63,2018,jun,4.0,2018-06-01
64,2019,jun,3.7,2019-06-01
65,2020,jun,,2020-06-01
66,2010,jul,9.4,2010-07-01
67,2011,jul,9.0,2011-07-01
68,2012,jul,8.2,2012-07-01
69,2013,jul,7.3,2013-07-01
70,2014,jul,6.2,2014-07-01
71,2015,jul,5.2,2015-07-01
72,2016,jul,4.8,2016-07-01
73,2017,jul,4.3,2017-07-01
74,2018,jul,3.8,2018-07-01
75,2019,jul,3.7,2019-07-01
76,2020,jul,,2020-07-01
77,2010,aug,9.5,2010-08-01
78,2011,aug,9.0,2011-08-01
79,2012,aug,8.1,2012-08-01
80,2013,aug,7.2,2013-08-01
81,2014,aug,6.1,2014-08-01
82,2015,aug,5.1,2015-08-01
83,2016,aug,4.9,2016-08-01
84,2017,aug,4.4,2017-08-01
85,2018,aug,3.8,2018-08-01
86,2019,aug,3.7,2019-08-01
87,2020,aug,,2020-08-01
88,2010,sep,9.5,2010-09-01
89,2011,sep,9.0,2011-09-01
90,2012,sep,7.8,2012-09-01
91,2013,sep,7.2,2013-09-01
92,2014,sep,5.9,2014-09-01
93,2015,sep,5.0,2015-09-01
94,2016,sep,5.0,2016-09-01
95,2017,sep,4.2,2017-09-01
96,2018,sep,3.7,2018-09-01
97,2019,sep,3.5,2019-09-01
98,2020,sep,,2020-09-01
99,2010,oct,9.4,2010-10-01
100,2011,oct,8.8,2011-10-01
101,2012,oct,7.8,2012-10-01
102,2013,oct,7.2,2013-10-01
103,2014,oct,5.7,2014-10-01
104,2015,oct,5.0,2015-10-01
105,2016,oct,4.9,2016-10-01
106,2017,oct,4.1,2017-10-01
107,2018,oct,3.8,2018-10-01
108,2019,oct,3.6,2019-10-01
109,2020,oct,,2020-10-01
110,2010,nov,9.8,2010-11-01
111,2011,nov,8.6,2011-11-01
112,2012,nov,7.7,2012-11-01
113,2013,nov,6.9,2013-11-01
114,2014,nov,5.8,2014-11-01
115,2015,nov,5.1,2015-11-01
116,2016,nov,4.7,2016-11-01
117,2017,nov,4.2,2017-11-01
118,2018,nov,3.7,2018-11-01
119,2019,nov,3.5,2019-11-01
120,2020,nov,,2020-11-01
121,2010,dec,9.3,2010-12-01
122,2011,dec,8.5,2011-12-01
123,2012,dec,7.9,2012-12-01
124,2013,dec,6.7,2013-12-01
125,2014,dec,5.6,2014-12-01
126,2015,dec,5.0,2015-12-01
127,2016,dec,4.7,2016-12-01
128,2017,dec,4.1,2017-12-01
129,2018,dec,3.9,2018-12-01
130,2019,dec,3.5,2019-12-01
131,2020,dec,,2020-12-01
